epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2224,0.78457,3.6699,1.09789,0.00343,1,0.42914,0.40975,0.35676,3.80199,0.72872,7.145e-05,7.145e-05,7.145e-05
2,23.3421,0.6793,3.38904,1.01557,0.00329,1,0.63017,0.58047,0.36045,3.68367,0.70928,0.000126066,0.000126066,0.000126066
3,35.925,0.97149,3.82438,1.1761,0.00322,1,0.70817,0.62577,0.35867,3.66284,0.70397,0.00014673,0.00014673,0.00014673
4,47.7668,0.71531,3.18753,1.05317,0.00322,1,0.70817,0.62577,0.36914,3.58287,0.70218,0.00013344,0.00013344,0.00013344
5,59.6449,0.78953,2.87633,1.09856,0.00322,1,0.70817,0.62466,0.38159,3.54325,0.70276,8.61973e-05,8.61973e-05,8.61973e-05
