epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2924,0.71772,4.41004,1.08589,0.00284,0.83333,0.22206,0.08333,0.49255,3.93337,0.8381,7.145e-05,7.145e-05,7.145e-05
2,30.6509,0.79511,3.61261,1.20417,0.00264,0.83333,0.47037,0.36032,0.35684,3.84526,0.79176,0.000126066,0.000126066,0.000126066
3,45.5313,0.91626,3.5826,1.31681,0.00256,0.83333,0.26009,0.23811,0.36551,3.87964,0.78147,0.00014673,0.00014673,0.00014673
4,60.2756,0.73972,3.72822,1.01934,0.00307,1,0.5683,0.44472,0.35826,3.88135,0.78666,0.00013344,0.00013344,0.00013344
5,75.2768,0.69637,3.44047,1.01815,0.00315,1,0.45632,0.40311,0.48477,3.75747,0.76702,8.61973e-05,8.61973e-05,8.61973e-05
