epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1284,0.70245,4.78064,1.12298,0.0035,1,0.41976,0.38047,0.43217,3.84183,0.76737,7.145e-05,7.145e-05,7.145e-05
2,23.432,0.79094,4.73285,1.13979,0.00334,1,0.54725,0.45851,0.46875,3.7824,0.72109,0.000141628,0.000141628,0.000141628
3,34.7221,0.58275,4.07838,0.95462,0.00323,1,0.54725,0.47806,0.50598,3.68301,0.73234,0.00019483,0.00019483,0.00019483
4,46.7344,0.50695,3.84277,0.96623,0.00327,1,0.76317,0.67695,0.51603,3.61849,0.74129,0.000231055,0.000231055,0.000231055
5,58.3662,0.4215,3.97042,0.81947,0.00349,1,0.68025,0.61222,0.48514,3.63764,0.73427,0.000250304,0.000250304,0.000250304
6,69.4673,0.60737,3.23185,0.96079,0.00356,1,0.65525,0.56991,0.44283,3.62072,0.72926,0.000252576,0.000252576,0.000252576
7,80.2356,0.54165,3.4126,0.94727,0.00363,1,0.68,0.5922,0.43174,3.58156,0.72446,0.000237871,0.000237871,0.000237871
8,91.9392,0.70399,3.55463,0.95166,0.00363,1,0.68,0.62118,0.45416,3.50928,0.72037,0.00020619,0.00020619,0.00020619
