epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1857,0.78457,3.6699,1.09789,0.00343,1,0.42914,0.40975,0.35676,3.80199,0.72872,7.145e-05,7.145e-05,7.145e-05
2,22.9716,0.68192,3.35254,1.01352,0.00326,1,0.69717,0.64077,0.3618,3.68632,0.70706,0.000155634,0.000155634,0.000155634
3,34.7821,1.06476,3.67476,1.2293,0.00323,1,0.68025,0.60855,0.34896,3.63026,0.69868,0.00023812,0.00023812,0.00023812
