epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4746,0.88143,3.50361,1.07117,0.00417,1,0.47997,0.40562,0.5198,3.44748,0.84016,0.00010003,0.00010003,0.00010003
2,66.1799,0.797,2.44412,1.02027,0.00432,1,0.48406,0.42912,0.52857,3.11022,0.8073,0.000207276,0.000207276,0.000207276
3,98.7353,0.76459,1.91553,0.98459,0.02293,1,0.76753,0.62322,0.58602,3.00278,0.82471,0.000306978,0.000306978,0.000306978
4,151.554,0.74756,1.50229,0.97448,0.99854,0.27479,0.93635,0.77209,0.58977,2.91417,0.83547,0.000399134,0.000399134,0.000399134
5,198.293,0.73131,1.33082,0.97104,1,0.5352,0.91251,0.77576,0.57673,2.7622,0.86037,0.000483745,0.000483745,0.000483745
6,244.884,0.73841,1.26206,0.96393,0.95582,0.5407,0.86573,0.70457,0.67448,2.57312,0.94174,0.000560811,0.000560811,0.000560811
7,293.768,0.71801,1.13386,0.94353,0.74024,0.4916,0.78428,0.65244,0.71611,2.59184,1.00893,0.000630332,0.000630332,0.000630332
8,348.622,0.69519,1.18248,0.97815,0.88926,0.60826,0.95796,0.76424,0.77313,2.32774,1.04686,0.000692308,0.000692308,0.000692308
9,395.419,0.68645,1.08579,0.97271,0.98334,0.81522,0.97501,0.79638,0.66425,1.74064,0.91692,0.000746738,0.000746738,0.000746738
10,447.926,0.70477,1.05297,0.9643,0.94992,0.96296,0.98833,0.83851,0.64451,1.55819,0.88035,0.000793624,0.000793624,0.000793624
11,495.829,0.67114,1.02017,0.97125,0.93102,0.93532,0.98767,0.86677,0.59685,1.50033,0.86165,0.000832964,0.000832964,0.000832964
12,542.475,0.68969,1.01564,0.97175,0.97951,0.99003,0.995,0.85172,0.60238,1.33268,0.881,0.000864759,0.000864759,0.000864759
13,588.052,0.64208,0.94869,0.96427,0.98815,0.98619,0.995,0.86022,0.61542,1.2335,0.88532,0.000863116,0.000863116,0.000863116
14,633.76,0.69704,0.92881,0.99057,0.92566,0.95475,0.96741,0.84762,0.5613,1.16909,0.88816,0.000815959,0.000815959,0.000815959
15,679.263,0.65007,0.87363,0.9711,0.88161,0.94967,0.96282,0.80877,0.61706,1.18766,0.87522,0.000768802,0.000768802,0.000768802
16,725.351,0.61776,0.84186,0.94184,0.86662,0.99069,0.97396,0.84353,0.59475,1.03936,0.87159,0.000721645,0.000721645,0.000721645
17,771.092,0.6011,0.83229,0.94024,0.96927,0.92002,0.97667,0.8637,0.58161,0.89547,0.85369,0.000674488,0.000674488,0.000674488
18,816.643,0.62404,0.84005,0.94694,0.95745,0.96296,0.9819,0.8643,0.55924,0.87132,0.84053,0.000627331,0.000627331,0.000627331
19,862.179,0.59056,0.80157,0.94342,0.94201,0.96203,0.98583,0.85629,0.5976,0.81447,0.85543,0.000580174,0.000580174,0.000580174
20,907.993,0.60726,0.7845,0.94885,0.99188,0.91469,0.98176,0.84913,0.59198,0.8224,0.8803,0.000533017,0.000533017,0.000533017
21,952.761,0.49422,0.82612,0.85968,0.95497,0.97286,0.995,0.87662,0.55259,0.93334,0.84429,0.00048586,0.00048586,0.00048586
22,997.46,0.48671,0.78771,0.85606,0.98378,0.96802,0.995,0.88603,0.54608,0.78293,0.8536,0.000438703,0.000438703,0.000438703
23,1042.14,0.47517,0.76266,0.86531,0.98952,1,0.995,0.87136,0.56302,0.73849,0.85248,0.000391546,0.000391546,0.000391546
24,1089.24,0.4695,0.75645,0.87482,0.99255,0.98019,0.995,0.85441,0.56919,0.71985,0.8417,0.000344389,0.000344389,0.000344389
25,1144.05,0.46417,0.72128,0.8712,0.99666,0.97651,0.995,0.88719,0.52021,0.67784,0.81774,0.000297232,0.000297232,0.000297232
26,1188.82,0.44787,0.69256,0.85163,0.97887,0.94781,0.98372,0.86614,0.56902,0.66803,0.8306,0.000250075,0.000250075,0.000250075
27,1234.16,0.42252,0.66057,0.83617,0.98217,0.95863,0.995,0.87374,0.56417,0.65852,0.85373,0.000202918,0.000202918,0.000202918
28,1278.92,0.43915,0.65521,0.84193,0.98728,0.97274,0.995,0.85985,0.579,0.64774,0.87312,0.000155761,0.000155761,0.000155761
29,1323.8,0.41901,0.63108,0.85784,0.98902,0.97001,0.995,0.8746,0.54641,0.61878,0.85623,0.000108604,0.000108604,0.000108604
30,1368.62,0.38939,0.61014,0.83298,0.99305,0.96793,0.995,0.87661,0.55108,0.60903,0.84829,6.1447e-05,6.1447e-05,6.1447e-05
